AbstractionError;TopLevelViolation Abstracted;topLevelViolationActualCentral;topLevelViolationActualRegioCentral;relativeTLViolationCentral;relativeTLViolationRegioCentral;topLevelViolationAbstractedRel;abstractionErrorRel;variableAbstraction;runtimePerStepCentral;runtimePerStepRegioCentral;runtimePerAvppPerStep;unsolvedCentralAllocations;Totalruntimecentral;Totalruntimeregiocentral;timestamps;Toplevelcostscentral;Toplevelcostsregiocentral;Rootcostsregiocentral;Longest serial path
0.0;0.0;3.637978807091713E-12;3.637978807091713E-12;2.0533340242274333E-16;2.05333414012093E-16;0.0;0.0;3.40272E-4;10.912084832000001;4.63331376;0.15367366400000002;0.0;389.28708246400004;327.813749712;1.424697491191E12;2157.1239134245775;2167.210249027436;2166.9071925825874;7.80663648E8
0.0;0.0;3.637978807091713E-12;0.0;1.9842907405995217E-16;0.0;0.0;0.0;3.49216E-4;3.083868352;4.833043856000001;0.6269899840000001;0.0;173.830035008;270.41531828800004;1.42469820853E12;2266.658514733179;2277.5709033816725;2274.4128124498357;1.217279392E9
0.0;0.0;3.637978807091713E-12;0.0;1.9203541240971583E-16;0.0;0.0;0.0;3.4497600000000004E-4;10.435405856000001;4.4853523840000005;1.063605728;0.0;87.26654019200001;266.980684256;1.424698653024E12;2376.656606256699;2385.4844106349324;2381.496387787537;1.278318192E9
9.094947017729282E-13;0.0;3.637978807091713E-12;3.637978807091713E-12;1.8965875685330382E-16;1.8965876674078472E-16;0.0;0.0;3.37568E-4;4.088614432;4.871510016;1.1246445280000001;0.0;101.291730064;237.70584544000002;1.424699007502E12;2418.6757178887046;2427.4150080669283;2423.7040164510227;2.97581424E8
0.0;0.0;1.4551915228366852E-11;0.0;7.913570589549966E-16;0.0;0.0;0.0;3.5536000000000004E-4;4.258004176;4.515062064;0.14390776;0.0;127.968617456;257.951328464;1.424699346736E12;2273.97063150748;2283.9615708781607;2283.9615708781603;1.170249184E9
0.0;0.0;3.637978807091713E-12;3.637978807091713E-12;1.932741093628155E-16;1.9327411963084766E-16;0.0;0.0;3.35264E-4;4.152056016;4.298301376;1.01657552;0.0;119.09046828800001;222.132399568;1.42469973288E12;2352.496068295813;2366.3707384110785;2360.0469173701777;1.53673664E8
0.0;3.637978807091713E-12;1.0913936421275139E-11;3.637978807091713E-12;5.579677066201953E-16;1.8598924504864095E-16;1.8598924504864095E-16;0.0;3.2620800000000003E-4;4.510675936;4.442871008;0.13521672;0.0;1963.991394672;254.29836614400003;1.424700074342E12;2486.472557869306;2493.911623447302;2491.0819364572108;7.89681024E8
0.0;3.637978807091713E-12;0.0;1.9972503650933504E-9;0.0;1.044648465932456E-13;1.902820520824146E-16;0.0;3.31488E-4;12.598518816;4.434950384;0.654464304;0.0;124.19604961600001;241.251065968;1.424702292866E12;2406.377489531382;2412.0747576107356;2412.5177525934855;1.179687632E9
0.0;3.637978807091713E-12;3.637978807091713E-12;3.637978807091713E-12;1.8773797353886918E-16;1.877379832270918E-16;1.877379832270918E-16;0.0;3.244E-4;9.831965152;4.440518;1.044470912;0.0;94.13522385600001;242.45316995200002;1.42470265857E12;2453.824324767323;2460.3701277046694;2458.643963580762;9.39740624E8
0.0;3.637978807091713E-12;4.729372449219227E-11;3.637978807091713E-12;2.4765436366027164E-15;1.9050336663748747E-16;1.9050336663748747E-16;0.0;3.22048E-4;4.04319048;4.6049889120000005;0.8045239040000001;0.0;245.91180891200003;264.45054400000004;1.424702995377E12;2402.3305519287737;2408.1944820796643;2408.5633726948017;2.7148072E8
0.0;3.637978807091713E-12;3.637978807091713E-12;0.0;1.860996555772168E-16;0.0;1.8609966509708631E-16;0.0;3.39072E-4;3.6622901760000004;4.553314032;0.136264;0.0;2323.6491068160003;245.825252976;1.424703506016E12;2484.445026510543;2490.3366223887924;2489.0156838975386;1.137037984E9
0.0;3.637978807091713E-12;0.0;0.0;0.0;0.0;1.8096144645166635E-16;0.0;3.3019200000000004E-4;4.295669952;4.42108072;1.0018212640000002;0.0;148.986559296;262.391545136;1.424706075707E12;2584.4739016073413;2589.464457351507;2588.358049734381;1.3521672E8
0.0;0.0;3.637978807091713E-12;7.275957614183426E-12;1.8292615792800033E-16;3.658523342519192E-16;0.0;0.0;3.40144E-4;3.608097904;4.642154384;0.149363968;0.0;182.15969486400002;263.83722904;1.42470648733E12;2545.1363414080847;2551.222655386995;2549.3946529257396;9.72910096E8
0.0;0.0;1.4551915228366852E-11;7.275957614183426E-12;7.594107764111384E-16;3.7970540802099377E-16;0.0;0.0;3.42544E-4;3.9744543520000004;4.777205296;0.823546128;0.0;144.228227296;294.680927568;1.424706933613E12;2414.268233228289;2419.630653084238;2420.215502514069;1.217889904E9
0.0;0.0;7.275957614183426E-12;0.0;3.8437157232513965E-16;0.0;0.0;0.0;3.0761600000000003E-4;4.308247376000001;4.9680546560000005;1.0685259360000001;0.0;126.99114688;251.930062528;1.424707372766E12;2371.9617882368752;2379.2336715948773;2378.8777468123953;1.064393824E9
